,title,url,date,coin,relevance,strength,sentiment
137,this is what polkadot price needs to reach $26,https://www.fxstreet.com/cryptocurrencies/news/this-is-what-polkadot-price-needs-to-reach-26-202204191949,2022-04-19,polkadot,0.6475937366485596,1,0
138,"polka defiance , the annual polkadot defi conference , kicks off on april 28",https://cointelegraph.com/press-releases/polka-defiance-the-annual-polkadot-defi-conference-kicks-off-on-april-28,2022-04-19,polkadot,0.3521328182299625,1,0
139,a future with binance series â why binance p2p expanded its risk management roadmap to protect users,https://peacefmonline.com/pages/business/news/202204/464961.php,2022-04-19,binance coin,0.3999329701668531,1,0
140,"kyberswap leads dex integration with bittorrent chain , providing liquidity and accessibility across all chains",https://www.digitaljournal.com/pr/kyberswap-leads-dex-integration-with-bittorrent-chain-providing-liquidity-and-accessibility-across-all-chains,2022-04-19,ve chain,0.4531862437725067,1,1
141,monero : this is why xmr price is outperforming privacy cryptos,https://www.fxstreet.com/cryptocurrencies/news/monero-this-is-why-xmr-price-is-outperforming-privacy-cryptos-202204191451,2022-04-19,monero,0.459956556558609,1,0
142,"monero community hard fork slated for july , increases chain ring size",https://www.coinspeaker.com/monero-hard-fork-july/,2022-04-19,monero,0.3501638770103454,1,0
143,how ripple africa reduces poverty in malawi,https://www.borgenmagazine.com/ripple-africa-reduces-poverty/,2022-04-19,ripple,0.3962591588497162,1,0
144,why cardano price is at risk of a 17 % sell - off,https://www.fxstreet.com/cryptocurrencies/news/why-cardano-price-is-at-risk-of-a-17-sell-off-202204191417,2022-04-19,cardano,0.5672421455383301,1,0
145,here why the founder of cardano is looking to build a decentralized twitter with elon musk,https://www.theepochtimes.com/heres-why-the-founder-of-cardano-is-looking-to-build-a-decentralized-twitter-with-elon-musk_4409587.html,2022-04-19,cardano,0.3742102086544037,1,0
146,"ethereum : crypto week at a glance : volatility persists , ethereum upgrade deferred",https://economictimes.indiatimes.com/markets/cryptocurrency/crypto-week-at-a-glance-volatility-persists-ethereum-upgrade-deferred/articleshow/91047622.cms,2022-04-24,ethereum,0.4580993056297302,0,0
147,"bitcoin cash price prediction for today , april 24 : bch ready for $300 support",https://forextv.com/bitcoin-news/bitcoin-cash-price-prediction-for-today-april-24-bch-ready-for-300-support/,2022-04-24,bitcoin cash,0.3852479651425663,0,0
148,"cryptocurrency prices today april 24 : bitcoin up , cryptos mixed ; polkadot biggest gainer",https://forextv.com/bitcoin-news/cryptocurrency-prices-today-april-24-bitcoin-up-cryptos-mixed-polkadot-biggest-gainer/,2022-04-24,polkadot,0.3838706314563751,0,1
149,"polka defiance , an annual conference on polkadot defi , kicks in on april , 28",https://www.coinspeaker.com/polka-defiance-an-annual-conference-on-polkadot-defi-kicks-in-on-april-28/,2022-04-24,polkadot,0.3521328182299625,0,0
150,the top metaverse crypto coins to buy in 2022 ! ,https://www.trend-online.com/cryptocurrency/metaverse-crypto-coins/,2022-04-24,binance coin,0.3598188954176925,0,0
151,binance recovers some of the stolen crypto from $600m heist,http://www.msn.com/en-us/news/us/binance-recovers-some-of-the-stolen-crypto-from-600m-heist/ar-AAWwtvd,2022-04-24,binance coin,0.3013613423406948,0,0
152,binance recovers some of the stolen crypto from $600m heist,https://www.foxbusiness.com/markets/binance-recovers-stolen-crypto-615-million-heist,2022-04-24,binance coin,0.3013613423406948,0,0
153,6 questions for lili zhao of neo â cointelegraph magazine,https://cointelegraph.com/magazine/2022/04/24/6-questions-for-lili-zhao-of-neo,2022-04-24,neo,0.4596829116344452,0,0
154,the top metaverse crypto coins to buy in 2022 ! ,https://www.trend-online.com/cryptocurrency/metaverse-crypto-coins/,2022-04-24,usd coin,0.3453108489140579,0,0
155,monero  falling wedge  breakout positions xmr price for 75 % rally,https://cointelegraph.com/news/monero-falling-wedge-breakout-positions-xmr-price-for-75-rally,2022-04-24,monero,0.3937657773494721,0,0
156,monero  falling wedge  breakout positions xmr price for 75 percent rally,https://www.today.ng/business/cryptocurrency/monero-falling-wedge-breakout-positions-xmr-price-75-percent-rally-420020,2022-04-24,monero,0.3663846850395202,0,0
157,claremont community creates ripples of kindness,https://brazilbusiness.einnews.com/pr_news/569383620/claremont-community-creates-ripples-of-kindness,2022-04-24,ripple,0.3800226747989655,0,0
158,claremont community creates ripples of kindness,https://menafn.com/1104082872/Claremont-Community-Creates-Ripples-of-Kindness&source=29,2022-04-24,ripple,0.3800226747989655,0,0
159,astronomers discover new type of stellar explosion called micronova,https://www.irishexaminer.com/world/arid-40857752.html,2022-04-24,stellar,0.3833127319812775,0,0
160,crabill looking to cap off stellar career for wildcats,https://www.nvdaily.com/nvdaily/crabill-looking-to-cap-off-stellar-career-for-wildcats/article_40091647-b004-5c1d-bb07-1cf6352bc524.html,2022-04-24,stellar,0.3608142733573913,0,0
161,top 5 ethereum killers to watch in 2022,https://www.albawaba.com/business/top-5-ethereum-killers-watch-2022-1474308,2022-04-21,ethereum,0.4384454786777496,1,0
162,"the monkeyfirm integrates chainlink price feeds , launches token nft trading system",https://finance.yahoo.com/news/monkeyfirm-integrates-chainlink-price-feeds-192100956.html,2022-04-21,chainlink,0.4398362338542938,1,1
163,"binance coin ( bnb ), avalanche ( avax ) and quitriam finance ( qtm ) could provide king sized returns in 2022",https://www.coinspeaker.com/binance-coin-avalanche-quitriam-finance-king-sized-returns/,2022-04-21,binance coin,0.3224769684499432,1,1
164,crypto exchange binance curbs services in russia,https://www.geo.tv/latest/412799-crypto-exchange-binance-curbs-services-in-russia,2022-04-21,binance coin,0.3165590871656552,1,-1
165,crypto exchange binance limits access to services for russia ... ,https://menafn.com/1104069815/Crypto-exchange-Binance-limits-access-to-services-for-Russians&source=19,2022-04-21,binance coin,0.2962151481890974,1,-1
166,logan cross - chain bridge is about to launch version 2 . 0 with a brand new asset and information cross - chain solution,https://www.memphissun.com/news/272500500/logan-cross-chain-bridge-is-about-to-launch-version-20-with-a-brand-new-asset-and-information-cross-chain-solution,2022-04-21,ve chain,0.4716548323631287,1,0
167,logan cross - chain bridge is about to launch version 2 . 0 with a brand new asset and information cross - chain solution,https://www.pittsburghstar.com/news/272500500/logan-cross-chain-bridge-is-about-to-launch-version-20-with-a-brand-new-asset-and-information-cross-chain-solution,2022-04-21,ve chain,0.4716548323631287,1,0
168,logan cross - chain bridge is about to launch version 2 . 0 with a brand new asset and information cross - chain solution,https://www.bostonstar.com/news/272500500/logan-cross-chain-bridge-is-about-to-launch-version-20-with-a-brand-new-asset-and-information-cross-chain-solution,2022-04-21,ve chain,0.4716548323631287,1,0
169,logan cross - chain bridge is about to launch version 2 . 0 with a brand new asset and information cross - chain solution,https://www.nashvilleherald.com/news/272500500/logan-cross-chain-bridge-is-about-to-launch-version-20-with-a-brand-new-asset-and-information-cross-chain-solution,2022-04-21,ve chain,0.4716548323631287,1,0
170,logan cross - chain bridge is about to launch version 2 . 0 with a brand new asset and information cross - chain solution,https://www.saltlakecitysun.com/news/272500500/logan-cross-chain-bridge-is-about-to-launch-version-20-with-a-brand-new-asset-and-information-cross-chain-solution,2022-04-21,ve chain,0.4716548323631287,1,0
171,logan cross - chain bridge is about to launch version 2 . 0 with a brand new asset and information cross - chain solution,https://www.londonmercury.com/news/272500500/logan-cross-chain-bridge-is-about-to-launch-version-20-with-a-brand-new-asset-and-information-cross-chain-solution,2022-04-21,ve chain,0.4716548323631287,1,0
172,logan cross - chain bridge is about to launch version 2 . 0 with a brand new asset and information cross - chain solution,https://www.baltimorestar.com/news/272500500/logan-cross-chain-bridge-is-about-to-launch-version-20-with-a-brand-new-asset-and-information-cross-chain-solution,2022-04-21,ve chain,0.4716548323631287,1,0
173,tezos co - founder arthur breitman discusses the untapped potential of defi,https://cointelegraph.com/news/tezos-co-founder-arthur-breitman-discusses-the-untapped-potential-of-defi,2022-04-21,tezos,0.3599937856197357,1,0
174,prince charles at the end of his tether with harry - expert,https://www.dailystar.co.uk/news/latest-news/prince-charles-end-tether-harry-26760239,2022-04-21,tether,0.442740797996521,1,0
175,prince charles at the end of his tether with harry says royal expert,http://www.msn.com/en-nz/news/uknews/prince-charles-at-the-end-of-his-tether-with-harry-says-royal-expert/ar-AAWqy9a,2022-04-21,tether,0.3967462480068207,1,0
176,prince charles at the end of his tether with harry says royal expert,https://www.msn.com/en-gb/news/uknews/prince-charles-at-the-end-of-his-tether-with-harry-says-royal-expert/ar-AAWqy9a,2022-04-21,tether,0.3967462480068207,1,0
177,prince charles is at the end of his tether with harry says royal expert,https://www.dailymail.co.uk/news/article-10737553/Prince-Charles-end-tether-Harry-says-royal-expert.html,2022-04-21,tether,0.3967462480068207,1,0
178,"prince charles  at the end of his tether with narcissistic harry , says royal expert",https://www.mirror.co.uk/news/uk-news/prince-charles-at-end-tether-26760183,2022-04-21,tether,0.3550035953521728,1,0
179,community scoop Â» tether ceo says the fight for kiwi workplace health is far from over,https://community.scoop.co.nz/2022/04/tether-ceo-says-the-fight-for-kiwi-workplace-health-is-far-from-over/,2022-04-21,tether,0.3411296010017395,1,0
180,bitcoin ( btc / usd ) latest $42k resistance coming under renew ... ,https://menafn.com/1104069860/Bitcoin-BTCUSD-Latest-42k-Resistance-Coming-Under-Renewed-Pressure&source=26,2022-04-21,usd coin,0.2890865860784801,1,-1
181,cardano - based apexaverse announces plans to take on the,https://www.globenewswire.com/news-release/2022/04/21/2426488/0/en/Cardano-Based-Apexaverse-Announces-Plans-to-take-on-the-MetaVerse-P2E-and-NFTs.html,2022-04-21,cardano,0.3969738483428955,1,1
182,astronomers discover new type of stellar explosion,https://www.rte.ie/news/newslens/2022/0420/1293323-space-astronomy-micronova/,2022-04-21,stellar,0.4404425024986267,1,0
183,astronomers discover new type of stellar explosion,https://www.extremetech.com/extreme/334364-astronomers-discover-new-type-of-stellar-explosion,2022-04-21,stellar,0.4404425024986267,1,0
184,nation looks to build on 2021 stellar fdi,https://vietnamnet.vn/en/nation-looks-to-build-on-2021-s-stellar-fdi-2011568.html,2022-04-21,stellar,0.4158709297103244,1,1
185,litecoin ( ltc ) nears full implementation of mimblewimble upgrade,https://invezz.com/news/2022/04/09/litecoin-ltc-nears-full-implementation-of-mimblewimble-upgrade/,2022-04-09,litecoin,0.3969541490077973,1,1
186,altcoin roundup : interoperability push puts attention back on polkadot,https://cointelegraph.com/news/altcoin-roundup-interoperability-push-puts-attention-back-on-polkadot,2022-04-09,polkadot,0.3503138720989227,1,0
187,tether hits market capitalization of $82 . 54 billion ( usdt ) ,https://www.etfdailynews.com/2022/04/09/tether-hits-market-capitalization-of-82-54-billion-usdt/,2022-04-09,tether,0.4932259023189545,1,1
188,neutrino usd ( usdn ) price down 0 . 6 % this week,https://www.etfdailynews.com/2022/04/09/neutrino-usd-usdn-price-down-0-6-this-week/,2022-04-09,usd coin,0.307836464277171,1,-1
189,x - cash is the innovative privacy centered cryptocurrency,https://www.globenewswire.com/news-release/2022/04/23/2427693/0/en/X-Cash-is-the-Innovative-Privacy-Centered-Cryptocurrency-Project.html,2022-04-23,bitcoin cash,0.3619390684730091,0,1
190,a future with binance series â why binance p2p expanded its risk management roadmap to protect users,https://www.peacefmonline.com/pages/business/news/202204/464961.php,2022-04-23,binance coin,0.3999329701668531,0,0
191,technology transforming the supply chain ecosystem,https://timesofindia.indiatimes.com/blogs/voices/technology-transforming-the-supply-chain-ecosystem/,2022-04-23,ve chain,0.4143922030925751,0,0
192,royal watcher : charles reached  the end of his tether  with harry,https://torontosun.com/news/world/royal-watcher-charles-reached-the-end-of-his-tether-with-harry,2022-04-23,tether,0.396167129278183,0,0
193,bitcoin use as currency may just be getting started ( cryptocurrency : btc - usd ) ,https://seekingalpha.com/news/3825613-bitcoins-use-as-currency-may-just-be-getting-started-morgan-stanley-says,2022-04-23,usd coin,0.3097080177037355,0,0
194,itwire - review â stellar data recovery premium,https://itwire.com/reviews-sp-288/software/review-stellar-data-recovery-premium.html,2022-04-23,stellar,0.3808373808860779,0,0
195,newly - discovered stellar explosion  the micronova  could explain more on dead stars,https://www.natureworldnews.com/articles/50503/20220422/stellar-explosion-the-micronova-dead-stars.htm,2022-04-23,stellar,0.3410855531692505,0,0
196,"cryptocurrencies price prediction : ethereum , ripple & bitcoin â american wrap 11 april",https://www.fxstreet.com/cryptocurrencies/news/cryptocurrencies-price-prediction-ethereum-ripple-bitcoin-american-wrap-11-april-202204112234,2022-04-12,ripple,0.3814526498317719,0,0
197,capitec leads the banking pack with stellar annual earn ... ,https://www.dailymaverick.co.za/article/2022-04-12-capitec-leads-the-bank-pack-with-stellar-earnings-and-nearly-190000-new-clients-per-month/,2022-04-12,stellar,0.3427466452121734,0,1
